,0
Company,Гранит Скопје
MAE,[117.64675903320312]
MSE,[19146.034000945587]
RMS,[138.36919455191457]
MAPE,[8.731188511281541]
R2,[0.1541952316552171]
statistics,"['slope: 0.28870873837979644', 'intercept: 978.3214777875221', 'r_value(correlation): 0.3926770067819316', 'r^2_value(determination): 0.15419523165521717', 'p_value: 0.057686730102944', 'std_err: 0.1441611311244148']"
n_future,[1]
n_past,[3]
n_months_future,[6]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,1.7273370027542114
accuracy_model,0.0
original_open,"[1030 1031 1100 1200 1280 1073 1114 1250 1200 1229 1315 1310 1399 1320
 1390 1337 1200 1301 1405 1380]"
error_df['date'].values,"['2022-01-01T00:00:00.000000000' '2022-02-01T00:00:00.000000000'
 '2022-03-01T00:00:00.000000000' '2022-04-01T00:00:00.000000000'
 '2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[1390 1337 1200 1301 1405 1380]
predicted_future['date'],"0   2022-01-01
1   2022-02-01
2   2022-03-01
3   2022-04-01
4   2022-05-01
5   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[1292.8    1273.2058 1256.8582 1223.6445 1203.6395 1184.1528]
df.describe,"               max          min         open        close
count   198.000000   198.000000   198.000000   198.000000
mean    856.823232   747.151515   795.590909   803.277778
std     506.038916   408.604096   452.281705   454.819012
min     280.000000   259.000000   263.000000   270.000000
25%     498.500000   461.000000   477.750000   480.000000
50%     682.000000   596.000000   634.000000   630.000000
75%    1038.000000   908.750000   969.000000   975.000000
max    3000.000000  2456.000000  2717.000000  2706.000000"
model_loss:,0.24728532135486603
accuracy:,0.21212121844291687
val_loss:,0.04637220874428749
model.summary,"Model: ""sequential_13""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_26 (LSTM)              (None, 3, 128)            68096     
                                                                 
 lstm_27 (LSTM)              (None, 32)                20608     
                                                                 
 dropout_13 (Dropout)        (None, 32)                0         
                                                                 
 dense_28 (Dense)            (None, 16)                528       
                                                                 
 dense_29 (Dense)            (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
